"X","Y","Z","Intensity","ReturnNumber","NumberOfReturns","ScanDirectionFlag","EdgeOfFlightLine","Classification","Synthetic","KeyPoint","Withheld","Overlap","ScanAngleRank","UserData","PointSourceId","Red","Green","Blue","ClusterID"
572288.210,4498586.860,40.599,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,62720.000,61440.000,58880.000,8.000
572288.214,4498586.878,40.593,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,54528.000,51968.000,51200.000,8.000
572288.212,4498586.888,40.604,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,55296.000,52736.000,52224.000,8.000
572288.366,4498589.039,40.812,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,48896.000,47104.000,46592.000,7.000
572288.206,4498586.877,40.576,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,64768.000,61696.000,61952.000,8.000
572288.206,4498586.888,40.583,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,60416.000,58880.000,57600.000,8.000
572288.208,4498586.903,40.583,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,60928.000,58624.000,58112.000,8.000
572288.333,4498588.970,40.841,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,44032.000,43008.000,41984.000,7.000
572288.193,4498586.854,40.570,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,59648.000,57600.000,57600.000,8.000
572288.195,4498586.868,40.571,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,59904.000,58368.000,57344.000,8.000
572288.192,4498586.891,40.581,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,59392.000,57344.000,56576.000,8.000
572288.194,4498586.907,40.583,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,63488.000,62464.000,61440.000,8.000
572288.193,4498586.918,40.590,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,59136.000,58112.000,57088.000,8.000
572288.190,4498586.927,40.602,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,61696.000,59904.000,59136.000,8.000
572288.181,4498586.852,40.566,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,59648.000,57088.000,56320.000,8.000
572288.182,4498586.865,40.568,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,58880.000,57344.000,55808.000,8.000
572288.185,4498586.882,40.568,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,60672.000,58880.000,58112.000,8.000
572288.184,4498586.894,40.573,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,60416.000,58624.000,57856.000,8.000
572288.185,4498586.908,40.575,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,62464.000,61952.000,60672.000,8.000
572288.183,4498586.918,40.583,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,58624.000,57600.000,56576.000,8.000
572288.180,4498586.929,40.592,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,59136.000,57856.000,55808.000,8.000
572288.178,4498586.941,40.600,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,59648.000,58368.000,56064.000,8.000
572288.176,4498586.952,40.609,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,55040.000,54528.000,52224.000,8.000
572288.170,4498586.963,40.629,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,56832.000,55040.000,53760.000,8.000
572288.170,4498586.977,40.630,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,57856.000,55808.000,55552.000,8.000
572288.170,4498586.837,40.556,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,59904.000,58368.000,57600.000,8.000
572288.173,4498586.854,40.553,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,59392.000,57600.000,56064.000,8.000
572288.172,4498586.866,40.559,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,60672.000,59136.000,57856.000,8.000
572288.175,4498586.883,40.555,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,59648.000,58624.000,56320.000,8.000
572288.173,4498586.893,40.564,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,55808.000,55040.000,53504.000,8.000
572288.175,4498586.910,40.563,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,60160.000,58624.000,57088.000,8.000
572288.175,4498586.922,40.567,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,50176.000,48896.000,47872.000,8.000
572288.170,4498586.930,40.583,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,57088.000,55296.000,54528.000,8.000
572288.167,4498586.942,40.592,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,60672.000,58624.000,58112.000,8.000
572288.164,4498586.955,40.605,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,57088.000,55040.000,54272.000,8.000
572288.163,4498586.967,40.610,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,62720.000,60672.000,60160.000,8.000
572288.164,4498586.983,40.614,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,60416.000,59136.000,58624.000,8.000
572288.160,4498586.825,40.542,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,57600.000,56320.000,54528.000,8.000
572288.161,4498586.839,40.547,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,58368.000,56320.000,55552.000,8.000
572288.162,4498586.854,40.548,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,58880.000,57344.000,56320.000,8.000
572288.160,4498586.866,40.552,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,59392.000,58112.000,56576.000,8.000
572288.164,4498586.882,40.550,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,57600.000,55552.000,54784.000,8.000
572288.161,4498586.892,40.559,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,57344.000,55552.000,54272.000,8.000
572288.163,4498586.908,40.559,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,60160.000,58624.000,57088.000,8.000
572288.162,4498586.920,40.564,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,56576.000,54528.000,53760.000,8.000
572288.159,4498586.930,40.576,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,62720.000,60672.000,60160.000,8.000
572288.157,4498586.946,40.587,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,58112.000,56320.000,55552.000,8.000
572288.154,4498586.956,40.597,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,56320.000,54528.000,54016.000,8.000
572288.156,4498586.973,40.596,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,58112.000,56320.000,55552.000,8.000
572288.154,4498586.983,40.605,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,63488.000,62464.000,61696.000,8.000
572288.154,4498587.010,40.612,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,62464.000,60416.000,59392.000,8.000
572288.151,4498586.841,40.536,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,56576.000,54528.000,54016.000,8.000
572288.152,4498586.854,40.538,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,60160.000,59136.000,58112.000,8.000
